full_date,meal_name,calories,protein_g,carbs_g,fat_g
2024-05-10,Cheeseburger + Fries,766,36,83,35
2024-05-10,Mixed Nuts (Snack),174,8,7,13
2024-05-10,Mixed Nuts (Snack),201,7,8,17
2024-05-11,Egg White Omelette,223,29,10,8
2024-05-11,Batch-cooked Chicken Breast,436,53,9,10
2024-05-11,Ground Turkey Bowl,465,46,49,12
2024-05-12,Egg White Omelette,275,23,9,5
2024-05-12,Egg White Omelette,238,24,12,9
2024-05-12,Egg White Omelette,259,23,5,8
2024-05-12,Batch-cooked Chicken Breast,479,46,19,6
2024-05-13,Protein Shake,156,26,12,4
2024-05-13,Lentil Soup,318,16,53,9
2024-05-13,Mixed Nuts (Snack),202,8,9,17
2024-05-13,Ground Turkey Bowl,461,40,47,14
2024-05-14,Avocado Toast (Whole Grain),416,14,41,14
2024-05-14,Lentil Soup,306,15,49,10
2024-05-14,Brown Rice + Veggies,340,11,58,5
2024-05-14,Brown Rice + Veggies,326,14,55,5
2024-05-14,Greek Yogurt + Berries,198,21,23,5
2024-05-15,Mixed Nuts (Snack),184,5,10,18
2024-05-15,Mixed Nuts (Snack),181,5,11,13
2024-05-15,Protein Shake,149,29,5,5
2024-05-16,Brown Rice + Veggies,353,8,70,7
2024-05-16,Post-Workout Rice Cakes,150,3,35,3
2024-05-16,Protein Shake,192,30,10,4
2024-05-16,Ground Turkey Bowl,503,48,39,17
2024-05-17,Protein Shake,179,30,7,5
2024-05-17,Batch-cooked Chicken Breast,395,54,15,12
2024-05-17,Protein Shake,191,25,14,5
2024-05-17,Batch-cooked Chicken Breast,408,54,10,7
2024-05-18,Cheeseburger + Fries,758,33,76,36
2024-05-18,Ground Turkey Bowl,480,41,40,11
2024-05-18,Cheeseburger + Fries,735,32,93,40
2024-05-18,Mixed Nuts (Snack),182,7,10,18
2024-05-18,Protein Shake,162,34,8,4
2024-05-19,Lentil Soup,377,18,44,9
2024-05-19,Avocado Toast (Whole Grain),396,13,52,21
2024-05-19,Greek Yogurt + Berries,208,16,32,5
2024-05-20,Batch-cooked Chicken Breast,439,43,14,12
2024-05-20,Ground Turkey Bowl,489,41,35,13
2024-05-20,Protein Shake,169,34,5,5
2024-05-20,Protein Shake,174,34,11,4
2024-05-20,Protein Shake,140,30,6,2
2024-05-21,Incline Walk Fuel Bar,266,10,28,10
2024-05-21,Post-Workout Rice Cakes,166,6,26,2
2024-05-21,Lentil Soup,341,16,53,5
2024-05-21,Incline Walk Fuel Bar,255,13,39,5
2024-05-21,Post-Workout Rice Cakes,144,5,26,2
2024-05-22,Ground Turkey Bowl,516,43,35,18
2024-05-22,Greek Yogurt + Berries,220,19,31,6
2024-05-22,Protein Shake,148,34,8,4
2024-05-23,Post-Workout Rice Cakes,172,5,29,3
2024-05-23,Avocado Toast (Whole Grain),379,13,49,16
2024-05-23,Post-Workout Rice Cakes,126,3,34,2
2024-05-23,Avocado Toast (Whole Grain),385,17,48,19
2024-05-23,Post-Workout Rice Cakes,135,4,34,2
2024-05-24,Lentil Soup,309,15,46,6
2024-05-24,Lentil Soup,282,16,40,8
2024-05-24,Avocado Toast (Whole Grain),436,17,42,21
2024-05-24,Mixed Nuts (Snack),172,5,9,13
2024-05-24,Lentil Soup,291,15,46,11
2024-05-25,Greek Yogurt + Berries,194,16,25,7
2024-05-25,Mixed Nuts (Snack),196,6,10,17
2024-05-25,Mixed Nuts (Snack),181,5,10,18
2024-05-26,Incline Walk Fuel Bar,279,14,33,5
2024-05-26,Incline Walk Fuel Bar,253,14,34,10
2024-05-26,Post-Workout Rice Cakes,167,3,25,1
2024-05-27,Lentil Soup,291,16,46,7
2024-05-27,Brown Rice + Veggies,362,14,73,8
2024-05-27,Lentil Soup,304,20,42,11
2024-05-27,Mixed Nuts (Snack),194,6,10,14
2024-05-28,Cheeseburger + Fries,747,31,82,49
2024-05-28,Mixed Nuts (Snack),196,6,10,13
2024-05-28,Cheeseburger + Fries,917,36,86,44
2024-05-28,Cheeseburger + Fries,746,38,94,45
2024-05-29,Ground Turkey Bowl,512,41,40,14
2024-05-29,Batch-cooked Chicken Breast,455,42,18,11
2024-05-29,Batch-cooked Chicken Breast,398,48,12,8
2024-05-29,Egg White Omelette,237,21,8,7
2024-05-30,Brown Rice + Veggies,344,12,70,9
2024-05-30,Mixed Nuts (Snack),187,5,10,13
2024-05-30,Avocado Toast (Whole Grain),424,14,47,20
2024-05-30,Brown Rice + Veggies,371,8,65,8
2024-05-30,Lentil Soup,345,15,49,5
2024-05-31,Greek Yogurt + Berries,226,19,31,6
2024-05-31,Protein Shake,168,34,10,3
2024-05-31,Batch-cooked Chicken Breast,425,45,9,10
2024-06-01,Brown Rice + Veggies,356,8,73,4
2024-06-01,Avocado Toast (Whole Grain),417,13,45,19
2024-06-01,Cheeseburger + Fries,776,35,80,43
2024-06-01,Batch-cooked Chicken Breast,421,49,11,7
2024-06-02,Egg White Omelette,231,20,5,4
2024-06-02,Batch-cooked Chicken Breast,405,50,19,6
2024-06-02,Batch-cooked Chicken Breast,414,42,19,12
2024-06-03,Brown Rice + Veggies,346,11,59,6
2024-06-03,Greek Yogurt + Berries,230,20,34,3
2024-06-03,Brown Rice + Veggies,349,13,56,5
2024-06-03,Greek Yogurt + Berries,213,17,32,5
2024-06-03,Brown Rice + Veggies,366,12,70,9
2024-06-04,Avocado Toast (Whole Grain),442,16,52,17
2024-06-04,Brown Rice + Veggies,366,9,63,5
2024-06-04,Post-Workout Rice Cakes,154,5,33,3
2024-06-04,Avocado Toast (Whole Grain),380,15,53,16
2024-06-05,Egg White Omelette,212,21,9,6
2024-06-05,Avocado Toast (Whole Grain),356,14,44,17
2024-06-05,Egg White Omelette,284,22,10,5
2024-06-05,Post-Workout Rice Cakes,158,3,26,2
2024-06-06,Protein Shake,141,29,5,5
2024-06-06,Batch-cooked Chicken Breast,411,51,18,6
2024-06-06,Greek Yogurt + Berries,249,19,30,6
2024-06-07,Lentil Soup,319,18,45,10
2024-06-07,Brown Rice + Veggies,380,12,56,9
2024-06-07,Incline Walk Fuel Bar,247,14,35,6
2024-06-07,Avocado Toast (Whole Grain),354,11,43,16
2024-06-07,Brown Rice + Veggies,388,13,66,8
2024-06-08,Lentil Soup,330,16,50,11
2024-06-08,Cheeseburger + Fries,836,38,88,39
2024-06-08,Greek Yogurt + Berries,231,17,22,7
2024-06-08,Mixed Nuts (Snack),192,6,11,13
2024-06-09,Incline Walk Fuel Bar,228,13,36,7
2024-06-09,Post-Workout Rice Cakes,167,4,31,1
2024-06-09,Brown Rice + Veggies,338,11,55,7
2024-06-10,Protein Shake,199,32,9,2
2024-06-10,Avocado Toast (Whole Grain),403,13,46,19
2024-06-10,Incline Walk Fuel Bar,263,10,37,11
2024-06-10,Incline Walk Fuel Bar,240,15,31,10
2024-06-11,Mixed Nuts (Snack),208,8,8,14
2024-06-11,Cheeseburger + Fries,899,32,81,47
2024-06-11,Mixed Nuts (Snack),210,7,9,14
2024-06-12,Greek Yogurt + Berries,218,16,23,3
2024-06-12,Greek Yogurt + Berries,228,17,25,7
2024-06-12,Batch-cooked Chicken Breast,384,54,9,13
2024-06-13,Batch-cooked Chicken Breast,427,45,16,7
2024-06-13,Greek Yogurt + Berries,200,20,23,5
2024-06-13,Batch-cooked Chicken Breast,389,45,11,8
2024-06-13,Egg White Omelette,237,23,10,8
2024-06-14,Batch-cooked Chicken Breast,422,42,19,7
2024-06-14,Batch-cooked Chicken Breast,396,43,13,8
2024-06-14,Batch-cooked Chicken Breast,404,42,12,12
2024-06-14,Egg White Omelette,201,29,10,4
2024-06-15,Protein Shake,193,30,8,5
2024-06-15,Cheeseburger + Fries,946,32,84,30
2024-06-15,Protein Shake,143,34,6,5
2024-06-15,Protein Shake,185,30,11,3
2024-06-16,Greek Yogurt + Berries,186,18,24,7
2024-06-16,Greek Yogurt + Berries,190,19,21,5
2024-06-16,Protein Shake,197,28,9,2
2024-06-17,Egg White Omelette,227,24,12,5
2024-06-17,Ground Turkey Bowl,471,45,47,19
2024-06-17,Batch-cooked Chicken Breast,388,43,19,9
2024-06-17,Protein Shake,174,26,12,5
2024-06-17,Egg White Omelette,264,29,9,4
2024-06-18,Greek Yogurt + Berries,202,20,27,6
2024-06-18,Post-Workout Rice Cakes,166,4,26,3
2024-06-18,Batch-cooked Chicken Breast,411,50,8,7
2024-06-18,Greek Yogurt + Berries,184,16,29,3
2024-06-19,Cheeseburger + Fries,717,37,88,46
2024-06-19,Post-Workout Rice Cakes,122,4,27,1
2024-06-19,Protein Shake,147,29,10,2
2024-06-19,Lentil Soup,283,15,40,6
2024-06-19,Protein Shake,198,27,8,3
2024-06-20,Protein Shake,162,27,6,3
2024-06-20,Post-Workout Rice Cakes,167,3,37,1
2024-06-20,Lentil Soup,309,18,46,8
2024-06-20,Brown Rice + Veggies,326,8,68,8
2024-06-20,Avocado Toast (Whole Grain),394,16,46,14
2024-06-21,Cheeseburger + Fries,818,36,87,39
2024-06-21,Mixed Nuts (Snack),200,7,8,15
2024-06-21,Mixed Nuts (Snack),180,5,6,16
2024-06-21,Mixed Nuts (Snack),183,7,9,14
2024-06-22,Mixed Nuts (Snack),212,5,9,14
2024-06-22,Cheeseburger + Fries,812,29,73,48
2024-06-22,Lentil Soup,356,14,41,9
2024-06-22,Post-Workout Rice Cakes,179,6,36,2
2024-06-22,Brown Rice + Veggies,348,12,68,9
2024-06-23,Avocado Toast (Whole Grain),423,13,40,20
2024-06-23,Brown Rice + Veggies,310,13,73,8
2024-06-23,Lentil Soup,317,21,49,7
2024-06-24,Egg White Omelette,276,28,14,5
2024-06-24,Egg White Omelette,279,23,7,8
2024-06-24,Greek Yogurt + Berries,217,15,20,6
2024-06-24,Egg White Omelette,218,20,9,6
2024-06-25,Batch-cooked Chicken Breast,474,44,9,11
2024-06-25,Greek Yogurt + Berries,239,19,30,4
2024-06-25,Mixed Nuts (Snack),175,5,10,13
2024-06-25,Cheeseburger + Fries,766,39,86,35
2024-06-26,Greek Yogurt + Berries,213,21,25,6
2024-06-26,Greek Yogurt + Berries,189,15,33,4
2024-06-26,Protein Shake,140,26,13,4
2024-06-26,Greek Yogurt + Berries,199,18,34,7
2024-06-27,Protein Shake,151,27,8,3
2024-06-27,Batch-cooked Chicken Breast,418,46,16,8
2024-06-27,Ground Turkey Bowl,424,41,40,10
2024-06-27,Protein Shake,179,27,10,5
2024-06-28,Brown Rice + Veggies,332,12,62,8
2024-06-28,Lentil Soup,286,19,43,9
2024-06-28,Post-Workout Rice Cakes,126,6,28,2
2024-06-28,Incline Walk Fuel Bar,265,15,28,5
2024-06-29,Post-Workout Rice Cakes,173,4,31,1
2024-06-29,Avocado Toast (Whole Grain),397,14,40,17
2024-06-29,Incline Walk Fuel Bar,276,10,34,10
2024-06-29,Lentil Soup,337,15,45,5
2024-06-30,Protein Shake,153,30,12,2
2024-06-30,Protein Shake,150,31,6,4
2024-06-30,Greek Yogurt + Berries,183,20,25,6
2024-06-30,Greek Yogurt + Berries,230,18,25,7
2024-06-30,Batch-cooked Chicken Breast,477,50,8,13
2024-07-01,Avocado Toast (Whole Grain),444,14,40,16
2024-07-01,Incline Walk Fuel Bar,234,13,30,7
2024-07-01,Incline Walk Fuel Bar,260,14,29,9
2024-07-02,Batch-cooked Chicken Breast,433,45,11,13
2024-07-02,Batch-cooked Chicken Breast,412,52,10,8
2024-07-02,Egg White Omelette,273,23,12,6
2024-07-02,Batch-cooked Chicken Breast,446,50,15,12
2024-07-02,Ground Turkey Bowl,483,40,45,14
2024-07-03,Mixed Nuts (Snack),206,5,8,14
2024-07-03,Protein Shake,177,28,13,3
2024-07-03,Cheeseburger + Fries,737,30,91,38
2024-07-03,Cheeseburger + Fries,713,38,79,30
2024-07-03,Cheeseburger + Fries,733,38,73,48
2024-07-04,Avocado Toast (Whole Grain),401,17,45,18
2024-07-04,Greek Yogurt + Berries,193,19,32,6
2024-07-04,Avocado Toast (Whole Grain),433,13,42,17
2024-07-04,Greek Yogurt + Berries,241,18,26,5
2024-07-05,Protein Shake,155,34,13,2
2024-07-05,Mixed Nuts (Snack),164,8,10,15
2024-07-05,Protein Shake,160,28,12,4
2024-07-05,Mixed Nuts (Snack),210,7,7,17
2024-07-05,Protein Shake,159,30,6,4
2024-07-06,Incline Walk Fuel Bar,218,11,30,11
2024-07-06,Post-Workout Rice Cakes,148,4,27,1
2024-07-06,Post-Workout Rice Cakes,161,3,31,3
2024-07-06,Avocado Toast (Whole Grain),363,10,54,14
2024-07-07,Brown Rice + Veggies,386,8,58,7
2024-07-07,Ground Turkey Bowl,481,39,42,18
2024-07-07,Incline Walk Fuel Bar,254,14,35,11
2024-07-08,Cheeseburger + Fries,949,28,78,41
2024-07-08,Mixed Nuts (Snack),213,8,7,14
2024-07-08,Cheeseburger + Fries,863,39,89,32
2024-07-08,Protein Shake,157,28,13,4
2024-07-09,Avocado Toast (Whole Grain),420,11,51,15
2024-07-09,Post-Workout Rice Cakes,126,3,33,1
2024-07-09,Avocado Toast (Whole Grain),378,10,47,17
2024-07-10,Post-Workout Rice Cakes,169,3,27,3
2024-07-10,Avocado Toast (Whole Grain),418,10,42,20
2024-07-10,Lentil Soup,349,17,54,5
2024-07-10,Incline Walk Fuel Bar,252,13,28,5
2024-07-10,Brown Rice + Veggies,339,14,68,5
2024-07-11,Brown Rice + Veggies,340,9,60,6
2024-07-11,Avocado Toast (Whole Grain),440,17,44,16
2024-07-11,Lentil Soup,334,18,52,5
2024-07-12,Avocado Toast (Whole Grain),363,11,48,21
2024-07-12,Avocado Toast (Whole Grain),420,17,52,16
2024-07-12,Brown Rice + Veggies,326,12,71,9
2024-07-13,Brown Rice + Veggies,378,11,71,4
2024-07-13,Lentil Soup,286,21,44,6
2024-07-13,Lentil Soup,295,20,53,10
2024-07-13,Brown Rice + Veggies,340,12,70,6
2024-07-14,Greek Yogurt + Berries,193,15,34,4
2024-07-14,Greek Yogurt + Berries,227,17,33,7
2024-07-14,Mixed Nuts (Snack),193,8,8,14
2024-07-14,Mixed Nuts (Snack),187,8,9,18
2024-07-14,Avocado Toast (Whole Grain),358,11,48,15
2024-07-15,Lentil Soup,326,14,42,5
2024-07-15,Greek Yogurt + Berries,209,17,20,4
2024-07-15,Brown Rice + Veggies,366,13,63,4
2024-07-15,Mixed Nuts (Snack),166,5,7,16
2024-07-16,Avocado Toast (Whole Grain),389,11,41,14
2024-07-16,Incline Walk Fuel Bar,225,14,35,11
2024-07-16,Post-Workout Rice Cakes,167,4,26,2
2024-07-16,Post-Workout Rice Cakes,122,3,25,3
2024-07-17,Mixed Nuts (Snack),164,7,6,14
2024-07-17,Greek Yogurt + Berries,214,15,34,4
2024-07-17,Brown Rice + Veggies,320,10,66,4
2024-07-17,Ground Turkey Bowl,505,39,32,14
2024-07-17,Cheeseburger + Fries,700,38,71,37
2024-07-18,Post-Workout Rice Cakes,170,5,28,3
2024-07-18,Incline Walk Fuel Bar,213,12,39,5
2024-07-18,Brown Rice + Veggies,367,10,71,9
2024-07-19,Cheeseburger + Fries,712,34,92,35
2024-07-19,Cheeseburger + Fries,800,31,80,38
2024-07-19,Protein Shake,151,29,8,5
2024-07-19,Mixed Nuts (Snack),162,5,9,16
2024-07-19,Protein Shake,194,30,12,4
2024-07-20,Cheeseburger + Fries,760,39,73,31
2024-07-20,Protein Shake,140,34,11,3
2024-07-20,Cheeseburger + Fries,773,37,86,49
2024-07-20,Protein Shake,192,34,14,2
2024-07-21,Incline Walk Fuel Bar,279,16,34,9
2024-07-21,Incline Walk Fuel Bar,256,15,36,9
2024-07-21,Avocado Toast (Whole Grain),417,10,40,20
2024-07-21,Lentil Soup,345,18,42,8
2024-07-22,Greek Yogurt + Berries,197,21,21,4
2024-07-22,Egg White Omelette,231,25,14,9
2024-07-22,Greek Yogurt + Berries,249,21,29,3
2024-07-23,Lentil Soup,291,19,42,10
2024-07-23,Protein Shake,180,27,10,2
2024-07-23,Post-Workout Rice Cakes,130,3,36,1
2024-07-23,Lentil Soup,285,19,48,6
2024-07-24,Greek Yogurt + Berries,243,21,24,6
2024-07-24,Greek Yogurt + Berries,202,15,32,6
2024-07-24,Protein Shake,143,26,10,5
2024-07-24,Ground Turkey Bowl,505,46,42,16
2024-07-25,Greek Yogurt + Berries,230,16,34,5
2024-07-25,Greek Yogurt + Berries,187,21,22,6
2024-07-25,Avocado Toast (Whole Grain),409,10,45,18
2024-07-26,Mixed Nuts (Snack),198,7,6,15
2024-07-26,Cheeseburger + Fries,929,38,82,36
2024-07-26,Protein Shake,199,30,5,4
2024-07-27,Brown Rice + Veggies,373,8,64,6
2024-07-27,Brown Rice + Veggies,383,13,61,4
2024-07-27,Brown Rice + Veggies,388,8,59,6
2024-07-27,Lentil Soup,346,20,47,11
2024-07-28,Incline Walk Fuel Bar,206,12,33,6
2024-07-28,Post-Workout Rice Cakes,124,6,32,3
2024-07-28,Avocado Toast (Whole Grain),427,13,49,15
2024-07-28,Brown Rice + Veggies,334,11,73,4
2024-07-29,Protein Shake,155,30,12,2
2024-07-29,Ground Turkey Bowl,474,46,31,15
2024-07-29,Greek Yogurt + Berries,218,17,25,4
2024-07-30,Post-Workout Rice Cakes,128,4,37,3
2024-07-30,Post-Workout Rice Cakes,170,4,33,3
2024-07-30,Brown Rice + Veggies,387,12,74,8
2024-07-30,Lentil Soup,313,15,41,10
2024-07-30,Brown Rice + Veggies,322,10,67,4
2024-07-31,Avocado Toast (Whole Grain),352,16,54,17
2024-07-31,Mixed Nuts (Snack),201,6,9,14
2024-07-31,Avocado Toast (Whole Grain),425,17,46,18
2024-07-31,Greek Yogurt + Berries,234,16,31,3
2024-08-01,Egg White Omelette,222,26,10,5
2024-08-01,Protein Shake,171,34,12,2
2024-08-01,Batch-cooked Chicken Breast,424,47,14,11
2024-08-02,Avocado Toast (Whole Grain),390,16,49,17
2024-08-02,Avocado Toast (Whole Grain),434,17,43,15
2024-08-02,Incline Walk Fuel Bar,242,15,36,5
2024-08-03,Brown Rice + Veggies,361,14,68,9
2024-08-03,Incline Walk Fuel Bar,244,13,29,11
2024-08-03,Post-Workout Rice Cakes,144,5,32,1
2024-08-04,Brown Rice + Veggies,333,8,65,4
2024-08-04,Brown Rice + Veggies,361,14,57,9
2024-08-04,Lentil Soup,286,17,41,5
2024-08-04,Avocado Toast (Whole Grain),351,12,42,20
2024-08-04,Avocado Toast (Whole Grain),414,12,44,16
2024-08-05,Incline Walk Fuel Bar,240,17,38,5
2024-08-05,Post-Workout Rice Cakes,167,6,31,1
2024-08-05,Egg White Omelette,264,21,5,4
2024-08-05,Protein Shake,197,28,8,5
2024-08-05,Protein Shake,196,29,11,5
2024-08-06,Protein Shake,168,28,13,2
2024-08-06,Greek Yogurt + Berries,227,15,27,4
2024-08-06,Greek Yogurt + Berries,207,21,22,6
2024-08-07,Protein Shake,193,31,12,2
2024-08-07,Protein Shake,148,34,6,3
2024-08-07,Mixed Nuts (Snack),184,5,6,18
2024-08-07,Mixed Nuts (Snack),205,8,6,13
2024-08-08,Brown Rice + Veggies,394,14,58,8
2024-08-08,Ground Turkey Bowl,430,39,43,16
2024-08-08,Brown Rice + Veggies,330,9,64,6
2024-08-08,Incline Walk Fuel Bar,227,15,38,5
2024-08-09,Lentil Soup,298,17,41,11
2024-08-09,Brown Rice + Veggies,365,11,55,8
2024-08-09,Ground Turkey Bowl,431,45,36,14
2024-08-10,Brown Rice + Veggies,362,8,67,9
2024-08-10,Cheeseburger + Fries,893,33,86,39
2024-08-10,Cheeseburger + Fries,766,33,81,36
2024-08-11,Brown Rice + Veggies,343,14,55,5
2024-08-11,Lentil Soup,299,19,41,9
2024-08-11,Avocado Toast (Whole Grain),423,10,43,15
2024-08-11,Incline Walk Fuel Bar,204,16,39,7
2024-08-11,Avocado Toast (Whole Grain),440,11,51,20
2024-08-12,Mixed Nuts (Snack),178,8,8,17
2024-08-12,Brown Rice + Veggies,359,8,65,9
2024-08-12,Brown Rice + Veggies,379,8,64,4
2024-08-12,Lentil Soup,351,15,51,8
2024-08-12,Avocado Toast (Whole Grain),408,12,44,18
2024-08-13,Brown Rice + Veggies,330,13,63,5
2024-08-13,Post-Workout Rice Cakes,130,5,28,3
2024-08-13,Incline Walk Fuel Bar,246,11,28,11
2024-08-13,Protein Shake,159,31,14,2
2024-08-14,Incline Walk Fuel Bar,214,10,34,10
2024-08-14,Incline Walk Fuel Bar,253,11,35,11
2024-08-14,Avocado Toast (Whole Grain),413,11,41,16
2024-08-15,Egg White Omelette,219,26,11,6
2024-08-15,Ground Turkey Bowl,435,44,48,14
2024-08-15,Batch-cooked Chicken Breast,469,51,10,12
2024-08-15,Ground Turkey Bowl,481,38,31,16
2024-08-15,Egg White Omelette,260,21,11,6
2024-08-16,Brown Rice + Veggies,383,9,56,9
2024-08-16,Ground Turkey Bowl,497,42,44,18
2024-08-16,Brown Rice + Veggies,382,11,73,7
2024-08-16,Mixed Nuts (Snack),200,8,6,18
2024-08-17,Egg White Omelette,260,28,5,7
2024-08-17,Egg White Omelette,241,22,11,4
2024-08-17,Greek Yogurt + Berries,205,21,22,4
2024-08-17,Protein Shake,174,26,12,4
2024-08-18,Ground Turkey Bowl,423,40,42,14
2024-08-18,Batch-cooked Chicken Breast,475,45,13,6
2024-08-18,Egg White Omelette,220,27,8,6
2024-08-19,Egg White Omelette,265,23,8,5
2024-08-19,Egg White Omelette,230,22,8,9
2024-08-19,Protein Shake,169,33,13,3
2024-08-19,Greek Yogurt + Berries,181,21,26,5
2024-08-20,Batch-cooked Chicken Breast,430,45,11,13
2024-08-20,Ground Turkey Bowl,450,40,49,15
2024-08-20,Batch-cooked Chicken Breast,412,47,16,11
2024-08-20,Batch-cooked Chicken Breast,399,44,17,7
2024-08-20,Batch-cooked Chicken Breast,405,43,10,8
2024-08-21,Lentil Soup,280,15,53,6
2024-08-21,Cheeseburger + Fries,943,30,71,39
2024-08-21,Lentil Soup,354,18,52,7
2024-08-22,Incline Walk Fuel Bar,244,13,33,5
2024-08-22,Greek Yogurt + Berries,180,20,27,4
2024-08-22,Post-Workout Rice Cakes,148,6,35,2
2024-08-23,Egg White Omelette,223,20,13,4
2024-08-23,Mixed Nuts (Snack),185,7,11,16
2024-08-23,Ground Turkey Bowl,460,38,39,17
2024-08-24,Post-Workout Rice Cakes,159,4,27,1
2024-08-24,Brown Rice + Veggies,387,11,63,8
2024-08-24,Post-Workout Rice Cakes,137,6,27,1
2024-08-24,Brown Rice + Veggies,326,13,64,6
2024-08-25,Avocado Toast (Whole Grain),355,13,43,19
2024-08-25,Avocado Toast (Whole Grain),392,10,47,15
2024-08-25,Lentil Soup,359,18,49,8
2024-08-25,Avocado Toast (Whole Grain),380,14,48,20
2024-08-26,Cheeseburger + Fries,765,35,90,41
2024-08-26,Cheeseburger + Fries,904,32,85,36
2024-08-26,Mixed Nuts (Snack),191,7,9,17
2024-08-27,Protein Shake,172,34,6,5
2024-08-27,Protein Shake,162,26,7,2
2024-08-27,Cheeseburger + Fries,772,34,75,34
2024-08-27,Protein Shake,167,31,14,2
2024-08-28,Greek Yogurt + Berries,246,19,22,3
2024-08-28,Mixed Nuts (Snack),181,8,7,18
2024-08-28,Incline Walk Fuel Bar,252,12,30,6
2024-08-28,Egg White Omelette,257,22,7,8
2024-08-28,Batch-cooked Chicken Breast,470,43,8,9
2024-08-29,Egg White Omelette,278,28,10,7
2024-08-29,Protein Shake,190,28,6,4
2024-08-29,Egg White Omelette,287,24,10,6
2024-08-30,Batch-cooked Chicken Breast,438,49,11,8
2024-08-30,Ground Turkey Bowl,474,42,42,17
2024-08-30,Ground Turkey Bowl,447,47,43,16
2024-08-30,Egg White Omelette,279,28,6,5
2024-08-30,Ground Turkey Bowl,426,45,30,14
2024-08-31,Incline Walk Fuel Bar,210,15,32,8
2024-08-31,Lentil Soup,357,15,47,9
2024-08-31,Lentil Soup,309,21,52,6
2024-08-31,Brown Rice + Veggies,371,11,61,5
2024-09-01,Batch-cooked Chicken Breast,462,45,16,10
2024-09-01,Egg White Omelette,242,28,6,4
2024-09-01,Ground Turkey Bowl,456,42,43,15
2024-09-01,Ground Turkey Bowl,427,44,31,11
2024-09-02,Lentil Soup,338,21,43,10
2024-09-02,Lentil Soup,362,15,40,10
2024-09-02,Brown Rice + Veggies,345,11,66,6
2024-09-02,Post-Workout Rice Cakes,150,5,26,2
2024-09-03,Greek Yogurt + Berries,204,21,27,5
2024-09-03,Brown Rice + Veggies,363,8,60,8
2024-09-03,Greek Yogurt + Berries,215,20,30,7
2024-09-03,Brown Rice + Veggies,327,8,67,5
2024-09-03,Lentil Soup,332,21,43,10
2024-09-04,Batch-cooked Chicken Breast,444,54,10,10
2024-09-04,Protein Shake,189,26,6,2
2024-09-04,Post-Workout Rice Cakes,147,5,34,2
2024-09-05,Ground Turkey Bowl,487,46,30,14
2024-09-05,Egg White Omelette,256,22,6,7
2024-09-05,Egg White Omelette,207,29,6,7
2024-09-05,Protein Shake,165,26,5,4
2024-09-05,Egg White Omelette,295,24,5,7
2024-09-06,Avocado Toast (Whole Grain),437,16,52,15
2024-09-06,Avocado Toast (Whole Grain),408,11,45,15
2024-09-06,Mixed Nuts (Snack),201,6,7,16
2024-09-07,Brown Rice + Veggies,356,11,56,5
2024-09-07,Greek Yogurt + Berries,242,17,24,5
2024-09-07,Mixed Nuts (Snack),219,6,6,15
2024-09-08,Batch-cooked Chicken Breast,423,45,8,10
2024-09-08,Brown Rice + Veggies,360,12,66,5
2024-09-08,Brown Rice + Veggies,366,9,64,6
2024-09-08,Incline Walk Fuel Bar,228,10,30,6
2024-09-09,Protein Shake,190,29,11,5
2024-09-09,Greek Yogurt + Berries,196,16,29,3
2024-09-09,Ground Turkey Bowl,471,42,34,17
2024-09-09,Greek Yogurt + Berries,238,19,28,3
2024-09-10,Egg White Omelette,216,29,5,4
2024-09-10,Brown Rice + Veggies,321,13,59,6
2024-09-10,Avocado Toast (Whole Grain),418,13,43,17
2024-09-10,Post-Workout Rice Cakes,152,5,36,1
2024-09-11,Post-Workout Rice Cakes,172,6,26,3
2024-09-11,Brown Rice + Veggies,326,12,58,4
2024-09-11,Avocado Toast (Whole Grain),375,15,46,16
2024-09-12,Brown Rice + Veggies,341,14,66,7
2024-09-12,Post-Workout Rice Cakes,161,4,31,3
2024-09-12,Cheeseburger + Fries,747,37,82,35
2024-09-12,Cheeseburger + Fries,914,32,73,44
2024-09-13,Mixed Nuts (Snack),175,8,11,18
2024-09-13,Incline Walk Fuel Bar,252,15,28,7
2024-09-13,Greek Yogurt + Berries,181,17,27,5
2024-09-13,Batch-cooked Chicken Breast,386,47,18,8
2024-09-13,Brown Rice + Veggies,383,14,62,5
2024-09-14,Ground Turkey Bowl,488,40,33,17
2024-09-14,Protein Shake,165,30,10,4
2024-09-14,Protein Shake,144,32,5,5
2024-09-15,Ground Turkey Bowl,512,42,44,10
2024-09-15,Greek Yogurt + Berries,180,16,21,7
2024-09-15,Egg White Omelette,237,21,8,7
2024-09-15,Batch-cooked Chicken Breast,470,49,18,7
2024-09-15,Batch-cooked Chicken Breast,438,49,18,9
2024-09-16,Cheeseburger + Fries,931,38,81,37
2024-09-16,Avocado Toast (Whole Grain),429,15,41,17
2024-09-16,Ground Turkey Bowl,484,45,40,18
2024-09-16,Greek Yogurt + Berries,188,16,24,5
2024-09-17,Egg White Omelette,202,22,12,7
2024-09-17,Greek Yogurt + Berries,208,17,33,7
2024-09-17,Protein Shake,141,34,14,5
2024-09-17,Batch-cooked Chicken Breast,465,46,11,13
2024-09-17,Egg White Omelette,269,29,10,7
2024-09-18,Post-Workout Rice Cakes,179,3,29,1
2024-09-18,Lentil Soup,305,19,44,9
2024-09-18,Post-Workout Rice Cakes,149,6,32,1
